,playerName2,predicted_pointsBasedOnAverage,playerName,playerTeam,predicted_pointsBasedOnLastWeek
549,,,"Ibanez, Pablo",Osasuna,2.0
562,,,"Valencia, Pablo",Osasuna,0.0
583,,,Herrando,Osasuna,6.0
604,,,"Munoz, Iker",Osasuna,0.0
624,,,Raul,Osasuna,2.0
649,,,"Fernandez, Aitor",Osasuna,0.0
671,,,"Pena, Ruben",Osasuna,4.0
694,,,"Moncayola, Jon",Osasuna,6.0
719,,,"Herrera, S",Osasuna,7.0
737,,,"Garcia, Unai",Osasuna,5.0
762,,,"Garcia, David",Osasuna,6.0
781,,,"Barja, Kike",Osasuna,0.0
805,,,"Garcia, Ruben",Osasuna,2.0
827,,,"Gomez, Moi",Osasuna,0.0
850,,,Juan,Osasuna,2.0
875,,,"Torro, Lucas",Osasuna,5.0
900,,,Budimir,Osasuna,5.0
921,,,Andrei,Rayo Vallecano,1.0
945,,,Cardenas,Rayo Vallecano,0.0
967,,,Alvaro,Rayo Vallecano,5.0
992,,,Isi,Rayo Vallecano,4.0
1033,,,Bebe,Rayo Vallecano,0.0
1058,,,Dimitrievski,Rayo Vallecano,6.0
1082,,,"D-t, R",Rayo Vallecano,2.0
1102,,,Martin,Rayo Vallecano,0.0
1126,,,Oscar,Rayo Vallecano,4.0
1147,,,"Trejo, Oscar",Rayo Vallecano,2.0
1171,,,Balliu,Rayo Vallecano,4.0
1193,,,"Ciss, Pathe",Rayo Vallecano,4.0
1218,,,Lejeune,Rayo Vallecano,4.0
1257,,,Falcao,Rayo Vallecano,0.0
1280,,,"Perez, K",Rayo Vallecano,4.0
1305,,,Chavarria,Rayo Vallecano,2.0
1327,,,"Mumin, Abdul",Rayo Vallecano,3.0
1360,,,"Crespo, Miguel",Rayo Vallecano,0.0
1383,,,Aridane,Rayo Vallecano,0.0
1407,,,"Espino, A",Rayo Vallecano,5.0
1431,,,"Lopez, Unai",Rayo Vallecano,1.0
1455,,,"de Frutos, Jorge",Rayo Vallecano,0.0
1479,,,Camello,Rayo Vallecano,3.0
1519,,,Fran,Real Madrid,2.0
1538,,,Camavinga,Real Madrid,6.0
1555,,,"Ceballos, Dani",Real Madrid,0.0
1580,,,Ancelotti,Real Madrid,0.0
1620,,,"Tchouameni, Aurelien",Real Madrid,6.0
1645,,,Brahim,Real Madrid,3.0
1653,,,"Guler, Arda",Real Madrid,2.0
1676,,,"Bellingham, Jude",Real Madrid,5.0
1696,,,Kepa,Real Madrid,0.0
1721,,,"Pineiro, Diego",Real Madrid,0.0
1742,,,Carvajal,Real Madrid,6.0
1787,,,Modric,Real Madrid,2.0
1812,,,"Valverde, Federico",Real Madrid,6.0
1837,,,"Vazquez, Lucas",Real Madrid,5.0
1862,,,"Kroos, Toni",Real Madrid,6.0
1879,,,Vinicius,Real Madrid,7.0
1904,,,Rodrygo,Real Madrid,4.0
1922,,,Mendy,Real Madrid,5.0
1946,,,Joselu,Real Madrid,2.0
1971,,,Lunin,Real Madrid,5.0
1993,,,"Sobrino, Ruben",Cádiz,4.0
2015,,,"Navarro, R",Cádiz,4.0
2031,,,Chust,Cádiz,3.0
2051,,,"Guardiola, Sergi",Cádiz,2.0
2083,,,"Alcaraz, R",Cádiz,4.0
2095,,,Juanmi,Cádiz,2.0
2148,,,"Ocampo, Brian",Cádiz,0.0
2164,,,Escalante,Cádiz,3.0
2185,,,"Machis, D",Cádiz,0.0
2205,,,Mere,Cádiz,0.0
2230,,,"Ramos, Chris",Cádiz,3.0
2253,,,"Gomez, Maxi",Cádiz,1.0
2274,,,"Pires, Lucas",Cádiz,5.0
2290,,,"Kouame, Rominigue",Cádiz,0.0
2293,,,Pellegrino,Cádiz,0.0
2295,,,"Ousou, Aiham",Cádiz,0.0
2336,,,Zaldua,Cádiz,0.0
2360,,,"Gil, David",Cádiz,0.0
2383,,,Fali,Cádiz,5.0
2408,,,"C, Iza",Cádiz,5.0
2431,,,"Alejo, I",Cádiz,2.0
2455,,,Alex,Cádiz,3.0
2477,,,Ledesma,Cádiz,4.0
2498,,,"Kubo, Take",Real Sociedad,6.0
2522,,,"Galan, Javi",Real Sociedad,7.0
2547,,,Turrientes,Real Sociedad,4.0
2571,,,"Pacheco, Jon",Real Sociedad,4.0
2597,,,Imanol alguacil,Real Sociedad,0.0
2621,,,Sadiq,Real Sociedad,2.0
2644,,,"Mendez, Brais",Real Sociedad,2.0
2653,,,"Marin, Pablo",Real Sociedad,0.0
2674,,,"Traore, Hamari",Real Sociedad,2.0
2689,,,"Silva, Andre",Real Sociedad,2.0
2712,,,"Ander-olasagasti, Jon",Real Sociedad,3.0
2729,,,"Zakharyan, Arsen",Real Sociedad,4.0
2750,,,Marrero,Real Sociedad,0.0
2778,,,"De-zarate, Gonzalez",Real Sociedad,0.0
2816,,,P224919,Real Sociedad,0.0
2898,,,"Zubeldia, Igor",Real Sociedad,5.0
2920,,,"Merino, Mikel",Real Sociedad,4.0
2944,,,Remiro,Real Sociedad,5.0
2964,,,Barrenetxea,Real Sociedad,3.0
3005,,,Zubimendi,Real Sociedad,6.0
3047,,,Pedrosa,Sevilla,1.0
3071,,,"Dmitrovic, Marko",Sevilla,0.0
3085,,,"Lamela, E",Sevilla,2.0
3113,,,"Sanchez-flores, Quique",Sevilla,0.0
3152,,,"Bade, Loic",Sevilla,6.0
3175,,,"Sow, Djibril",Sevilla,5.0
3188,,,"Nyland, Orjan",Sevilla,7.0
3197,,,"Arbol, Matias",Sevilla,0.0
3218,,,Juanlu,Sevilla,3.0
3255,,,"Soumare, Boubakary",Sevilla,6.0
3273,,,"Ramos, Sergio",Sevilla,7.0
3291,,,"Romero, Isaac",Sevilla,7.0
3295,,,"Mejbri, Hannibal",Sevilla,0.0
3324,,,"Januzaj, Adnan",Sevilla,0.0
3343,,,"Navas, Jesus",Sevilla,5.0
3364,,,"Jordan, Joan",Sevilla,0.0
3384,,,"Nesyri, En",Sevilla,5.0
3409,,,Ocampos,Sevilla,7.0
3431,,,"Torres, Oliver",Sevilla,4.0
3469,,,Suso,Sevilla,2.0
3483,,,"Acuna, M",Sevilla,7.0
3508,,,"Rivero, C",Valencia,0.0
3533,,,"Duro, Hugo",Valencia,5.0
3558,,,Mamardashvili,Valencia,4.0
3576,,,"Vazquez, J",Valencia,2.0
3624,,,Pepelu,Valencia,6.0
3647,,,"Ozkacar, Cenk",Valencia,4.0
3670,,,"Amallah, Selim",Valencia,4.0
3695,,,"Baraja, Ruben",Valencia,0.0
3718,,,"Guerra, Javier",Valencia,5.0
3743,,,Francisco,Valencia,5.0
3767,,,"Mosquera, Cristhian",Valencia,4.0
3777,,,"Iranzo, Ruben",Valencia,0.0
3798,,,"Gozalbez, Pablo",Valencia,0.0
3834,,,"Canos, Sergi",Valencia,1.0
3853,,,"Yaremchuk, Roman",Valencia,0.0
3862,,,"Mari, Alberto",Valencia,0.0
3869,,,"Gasiorowski, Yarek",Valencia,0.0
3872,,,Peter,Valencia,1.0
3897,,,Jaume,Valencia,0.0
3912,,,"Diakhaby, Mouctar",Valencia,0.0
3931,,,Gaya,Valencia,3.0
3971,,,Foulquier,Valencia,5.0
3996,,,"G, Hugo",Valencia,3.0
4021,,,Embarba,Almería,2.0
4043,,,Baba,Almería,6.0
4065,,,"G, Edgar",Almería,5.0
4088,,,Pozo,Almería,0.0
4112,,,Maximiano,Almería,7.0
4133,,,Robertone,Almería,6.0
4158,,,"C, Fernando",Almería,0.0
4181,,,Centelles,Almería,5.0
4229,,,"Ramazani, L",Almería,5.0
4300,,,"Marino, D",Almería,0.0
4311,,,"Viera, Jonathan",Almería,0.0
4334,,,"Lopy, Dion",Almería,3.0
4358,,,Arribas,Almería,4.0
4368,,,"Pubill, Marc",Almería,6.0
4389,,,"Milovanovic, Marko",Almería,2.0
4399,,,"Garitano, Gaizka",Almería,0.0
4403,,,"Radovanovic, Aleksandar",Almería,6.0
4406,,,Luka,Almería,0.0
4408,,,"Langa, Bruno",Almería,3.0
4430,,,"Melero, Gonzalo",Almería,2.0
4452,,,Lozano,Almería,4.0
4474,,,"B, Alex", Villarreal,4.0
4496,,,"C-v, Santi", Villarreal,4.0
4515,,,"Mandi, Aissa", Villarreal,0.0
4538,,,Cuenca, Villarreal,4.0
4560,,,Sorloth, Villarreal,5.0
4569,,,Marcelino, Villarreal,0.0
4592,,,"Reina, Jose", Villarreal,0.0
4617,,,"Femenia, Kiko", Villarreal,5.0
4642,,,Jorgensen, Villarreal,5.0
4696,,,"Akhomach, Ilias", Villarreal,6.0
4703,,,"Mosquera, Yerson", Villarreal,5.0
4729,,,Morales, Villarreal,1.0
4734,,,"Guedes, Goncalo", Villarreal,2.0
4742,,,"Coquelin, Francis", Villarreal,4.0
4802,,,Trigueros, Villarreal,0.0
4824,,,Gerard, Villarreal,4.0
4851,,,Albiol, Villarreal,4.0
4871,,,"Moreno, Alberto", Villarreal,1.0
4915,,,Capoue, Villarreal,2.0
4951,,,"Garcia, Kike",Alavés,0.0
4958,,,"Simeone, Giuliano",Alavés,0.0
4981,,,"Blanco, Antonio",Alavés,5.0
5000,,,Abqar,Alavés,5.0
5047,,,"Sola, Alex",Alavés,7.0
5072,,,"Alkain, Xeber",Alavés,0.0
5097,,,"Rebbach, Abderrahman",Alavés,1.0
5144,,,"Owono, Jesus",Alavés,0.0
5180,,,"Garcia, Luis",Alavés,0.0
5204,,,"Marin, Rafa",Alavés,2.0
5231,,,Samu,Alavés,5.0
5252,,,"Hagi, Ianis",Alavés,1.0
5257,,,"Vicente, Carlos",Alavés,2.0
5281,,,P235227,Alavés,5.0
5305,,,"Guevara, Ander",Alavés,4.0
5329,,,"Duarte, R",Alavés,4.0
5354,,,"Rioja, L",Alavés,6.0
5378,,,Guridi,Alavés,5.0
5402,,,Javi,Alavés,3.0
5427,,,Sivera,Alavés,5.0
5468,,,"Martin, Ivan",Girona,1.0
5489,,,"Garcia, Eric",Girona,2.0
5514,,,Fuidias,Girona,0.0
5539,,,Gutierrez,Girona,2.0
5600,,,Juan,Girona,0.0
5624,,,Stuani,Girona,2.0
5648,,,Valery,Girona,2.0
5672,,,"Garcia, Aleix",Girona,2.0
5696,,,"Rl, Juanpe",Girona,2.0
5702,,,"Garcia, Borja",Girona,0.0
5726,,,Arnau,Girona,0.0
5751,,,"Couto, Yan",Girona,2.0
5775,,,"Gazzaniga, Paulo",Girona,3.0
5795,,,"Tsygankov, Viktor",Girona,2.0
5843,,,Savio,Girona,2.0
5867,,,"Torre, Pablo",Girona,2.0
5889,,,"Dovbyk, Artem",Girona,1.0
5912,,,"Solis, Jhon",Girona,2.0
5937,,,Portu,Girona,1.0
5959,,,"Paul, De",Atlético de Madrid,5.0
5976,,,"Depay, Memphis",Atlético de Madrid,2.0
6001,,,"Riquelme, R",Atlético de Madrid,1.0
6012,,,Reinildo,Atlético de Madrid,2.0
6037,,,Simeone,Atlético de Madrid,0.0
6061,,,"Witsel, Axel",Atlético de Madrid,5.0
6084,,,Morata,Atlético de Madrid,2.0
6106,,,"Lino, Samuel",Atlético de Madrid,5.0
6130,,,"Molina, Nahuel",Atlético de Madrid,3.0
6145,,,"Barrios-rivas, Pablo",Atlético de Madrid,2.0
6169,,,Hermoso,Atlético de Madrid,6.0
6210,,,"Gomis, Antonio",Atlético de Madrid,0.0
6219,,,"Moldovan, Horatiu",Atlético de Madrid,0.0
6222,,,"Vermeeren, Arthur",Atlético de Madrid,0.0
6243,,,"Paulista, Gabriel",Atlético de Madrid,5.0
6267,,,Oblak,Atlético de Madrid,6.0
6304,,,Savic,Atlético de Madrid,0.0
6326,,,Koke,Atlético de Madrid,3.0
6375,,,"Correa, Angel",Atlético de Madrid,2.0
6400,,,Griezmann,Atlético de Madrid,5.0
6425,,,"Marcos, Llorente",Atlético de Madrid,5.0
6449,,,Marc,Las Palmas,1.0
6466,,,Sandro,Las Palmas,4.0
6487,,,Marvin,Las Palmas,5.0
6511,,,"Cardona, Sergi",Las Palmas,6.0
6536,,,"Suarez, Alex",Las Palmas,6.0
6554,,,Fabio,Las Palmas,0.0
6569,,,"Moleiro, A",Las Palmas,1.0
6594,,,Loiodice,Las Palmas,2.0
6619,,,"Valles, A",Las Palmas,7.0
6654,,,Kirian,Las Palmas,6.0
6692,,,Coco,Las Palmas,5.0
6715,,,Pejino,Las Palmas,0.0
6740,,,"Pimienta, Garcia",Las Palmas,0.0
6764,,,"Munoz, Javi",Las Palmas,5.0
6789,,,Herrera,Las Palmas,0.0
6808,,,"Sinkgraven, Daley",Las Palmas,0.0
6831,,,"Marmol, Mika",Las Palmas,6.0
6846,,,"Araujo, Julian",Las Palmas,0.0
6860,,,"Herzog, Juan",Las Palmas,0.0
6887,,,Sory,Las Palmas,0.0
6908,,,"Perrone, Maximo",Las Palmas,6.0
6945,,,"Haddadi, El",Las Palmas,4.0
6992,,,"Darder, S",Mallorca,4.0
7018,,,Sanchez,Mallorca,5.0
7043,,,"Rodriguez, Dani",Mallorca,5.0
7069,,,Abdon,Mallorca,1.0
7086,,,"Raillo, A",Mallorca,5.0
7150,,,Morlanes,Mallorca,2.0
7176,,,"Greif, D",Mallorca,0.0
7199,,,Mascarell,Mallorca,6.0
7224,,,"Gonzalez, Giovanni",Mallorca,5.0
7242,,,"Muriqi, Vedat",Mallorca,4.0
7267,,,Javier aguirre,Mallorca,0.0
7293,,,Samu,Mallorca,1.0
7318,,,Copete,Mallorca,0.0
7344,,,"Rajkovic, Predrag",Mallorca,6.0
7366,,,"Nastasic, Matija",Mallorca,4.0
7416,,,"Van-der-heyden, Siebe",Mallorca,0.0
7451,,,Cuellar,Mallorca,0.0
7469,,,"Llabres, Javi",Mallorca,0.0
7471,,,"Radonjic, Nemanja",Mallorca,2.0
7495,,,"Costa, Jaume",Mallorca,6.0
7519,,,"Vidal, Nacho",Mallorca,2.0
7542,,,Lato,Mallorca,1.0
7562,,,"De-galarreta, R",Athletic de Bilbao,5.0
7588,,,"Aguirrezabala, Julen",Athletic de Bilbao,0.0
7660,,,Valverde,Athletic de Bilbao,0.0
7708,,,Ander,Athletic de Bilbao,2.0
7733,,,Paredes,Athletic de Bilbao,6.0
7757,,,"Garcia-de-albeniz, Imanol",Athletic de Bilbao,0.0
7779,,,"Gomez, Unai",Athletic de Bilbao,3.0
7800,,,"Adu-ares, Malcom",Athletic de Bilbao,2.0
7821,,,"Prados, Benat",Athletic de Bilbao,0.0
7847,,,Unai,Athletic de Bilbao,7.0
7867,,,"Marcos, De",Athletic de Bilbao,5.0
7892,,,"Lekue, Inigo",Athletic de Bilbao,0.0
7912,,,Yuri,Athletic de Bilbao,6.0
7936,,,O,Athletic de Bilbao,2.0
7947,,,Yeray,Athletic de Bilbao,6.0
7963,,,"Garcia, Dani",Athletic de Bilbao,0.0
7988,,,Muniain,Athletic de Bilbao,3.0
8013,,,"Garcia, Raul",Athletic de Bilbao,3.0
8039,,,Villalibre,Athletic de Bilbao,2.0
8062,,,"Arthuer, Williams",Athletic de Bilbao,6.0
8086,,,"Berenguer, Alex",Athletic de Bilbao,3.0
8107,,,Vesga,Athletic de Bilbao,5.0
8185,,,Xavi,FC Barcelona,0.0
8202,,,Raphinha,FC Barcelona,3.0
8225,,,Lewandowski,FC Barcelona,3.0
8249,,,Christensen,FC Barcelona,2.0
8307,,,"Pena, Inaki",FC Barcelona,0.0
8331,,,"Gundogan, Ilkay",FC Barcelona,3.0
8354,,,"Yamal, Lamine",FC Barcelona,4.0
8376,,,"Lopez, Fermin",FC Barcelona,2.0
8406,,,"Kochen, Diego",FC Barcelona,0.0
8417,,,"Casado, Marc",FC Barcelona,0.0
8437,,,Cancelo,FC Barcelona,3.0
8448,,,"Cubarsi, Pau",FC Barcelona,3.0
8456,,,"Guiu, Marc",FC Barcelona,0.0
8465,,,"Fort, Hector",FC Barcelona,0.0
8502,,,"Jong, De",FC Barcelona,2.0
8526,,,Kounde,FC Barcelona,3.0
8541,,,"I, Martinez",FC Barcelona,4.0
8555,,,Pedri,FC Barcelona,3.0
8576,,,"Araujo, R",FC Barcelona,0.0
8591,,,"Stegen, Ter",FC Barcelona,4.0
8630,,,Rodri,Betis,2.0
8652,,,"Silva, Rui",Betis,6.0
8680,,,"Jose, Willian",Betis,6.0
8699,,,"Carvalho, William",Betis,2.0
8723,,,Pezzella,Betis,6.0
8743,,,Bellerin,Betis,6.0
8763,,,Abde,Betis,5.0
8788,,,"Pellegrini, Manuel",Betis,0.0
8854,,,"Altimira, Sergi",Betis,0.0
8875,,,"Roca, Marc",Betis,6.0
8893,,,"Vieites, F",Betis,0.0
8910,,,Chadi,Betis,0.0
8933,,,"Diao, Assane",Betis,0.0
8940,,,Sokratis,Betis,5.0
8945,,,"Cardoso, Joao",Betis,6.0
8948,,,"Fornals, P",Betis,8.0
8989,,,Chimy,Betis,2.0
8998,,,Fekir,Betis,7.0
9033,,,"R, Aitor",Betis,0.0
9042,,,"Bravo, C",Betis,0.0
9065,,,Miranda,Betis,6.0
9083,,,Cervi,Celta de Vigo,0.0
9108,,,"Sanchez, Manu",Celta de Vigo,0.0
9132,,,"Dominguez, C",Celta de Vigo,4.0
9154,,,"Villar, Ivan",Celta de Vigo,0.0
9179,,,"Vazquez, Kevin",Celta de Vigo,1.0
9227,,,Fran,Celta de Vigo,3.0
9246,,,"Perez, Carles",Celta de Vigo,0.0
9269,,,"La-torre, De",Celta de Vigo,3.0
9294,,,"Strand-larsen, Jorgen",Celta de Vigo,3.0
9318,,,"Aspas, Iago",Celta de Vigo,3.0
9380,,,"Starfelt, Carl",Celta de Vigo,0.0
9402,,,"Benitez, Rafa",Celta de Vigo,0.0
9409,,,"Carrillo, Coke",Celta de Vigo,0.0
9429,,,"Sotelo, Hugo",Celta de Vigo,1.0
9452,,,"Douvikas, Tasos",Celta de Vigo,1.0
9473,,,Guaita,Celta de Vigo,3.0
9489,,,"Ristic, Mihailo",Celta de Vigo,4.0
9495,,,Jailson,Celta de Vigo,3.0
9498,,,Manquillo,Celta de Vigo,4.0
9499,,,"Allende, Tadeo",Celta de Vigo,2.0
9533,,,"Nunez, Unai",Celta de Vigo,4.0
9557,,,Tapia,Celta de Vigo,6.0
9582,,,Miguel,Celta de Vigo,0.0
9607,,,Mingueza,Celta de Vigo,2.0
9609,,,Ilaix,Getafe CF,1.0
9634,,,"Alena, Carlos",Getafe CF,2.0
9659,,,"Iglesias, Juan",Getafe CF,4.0
9682,,,"Alderete, O",Getafe CF,4.0
9705,,,"Rico, Diego",Getafe CF,3.0
9723,,,"Carmona, J",Getafe CF,1.0
9748,,,"Mayoral, Borja",Getafe CF,3.0
9817,,,"Latasa, Juan",Getafe CF,0.0
9840,,,"Bordalas, Jose",Getafe CF,0.0
9865,,,"Fuzato, Daniel",Getafe CF,0.0
9885,,,"Greenwood, Mason",Getafe CF,4.0
9891,,,"Martin, Jordi",Getafe CF,4.0
9896,,,"Santiago, Jesus",Getafe CF,0.0
9921,,,"David, Soria",Getafe CF,5.0
9943,,,Dakonam,Getafe CF,5.0
9974,,,"Maksimovic, Nemanja",Getafe CF,4.0
9997,,,Mata,Getafe CF,3.0
10020,,,"Duarte, Domingos",Getafe CF,0.0
10034,,,"Milla, L",Getafe CF,5.0
10054,,,Oscar,Getafe CF,0.0
